ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
13	8994201	ABORDADO	NÃO
13	8994201	PRÓXIMO	NÃO
13	8994201	SEV ENDEREÇO	NÃO
13	8994201	SEV PRÓXIMA	NÃO
13	8994201	4G	Inviável			
13	8994201	FO GPON_RESID ETH	Inviável			
13	8994201	FO XGSPON RESID ETH	Inviável			
13	8994201	HFC BSoD	Inviável	ESTAÇÃO ENTRONCAMENTO:RJO AM		
13	8994201	FO GPON_RESID ETH PRE VIAVEL	Inviável			
13	8994201	FO GPON ETH	Inviável			
13	8994201	FO EDD DIRETO CLARO	Inviável			
13	8994201	FO EDD CLARO PRE VIAVEL	Inviável			
13	8994201	FO EDD ETH	Inviável			
13	8994201	FOetherNET	Inviável			
13	8994201	FO SDH	Inviável			
13	8994201	ADE SDH	Inviável			
13	8994201	SATELITE BANDA KA	Inviável			
13	8994201	SATELITE BANDA KU	Inviável			
13	8994201	TERCEIROS ETH	Viável	NUVEM: NUVEM PARA BLC - PROPRIETÁRIO NUVEM: MOBWIRE	SPO IG	

ID	SEV	FACILIDADE	STATUS	INFORMAÇÃO	ESTACAO ENTREGA	%DISPONIBILIDADE
14	8994207	ABORDADO	NÃO
14	8994207	PRÓXIMO	NÃO
14	8994207	SEV ENDEREÇO	NÃO
14	8994207	SEV PRÓXIMA	NÃO
14	8994207	4G	Inviável			
14	8994207	FO GPON_RESID ETH	Inviável			
14	8994207	FO XGSPON RESID ETH	Inviável			
14	8994207	HFC BSoD	Inviável			
14	8994207	FO GPON_RESID ETH PRE VIAVEL	Inviável			
14	8994207	FO GPON ETH	Inviável			
14	8994207	FO EDD DIRETO CLARO	Inviável			
14	8994207	FO EDD CLARO PRE VIAVEL	Inviável			
14	8994207	FO EDD ETH	Inviável			
14	8994207	FOetherNET	Inviável			
14	8994207	FO SDH	Inviável			
14	8994207	ADE SDH	Inviável			
