sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status;tecnologia
8703253;-28,7140093;-51,9310243;RS;SFO;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;467,2176949;3;1630552;;;;;;11835175;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703254;-18,8560833;-48,2664166;MG;ULA;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;22297,01258;528,5838385;3;1630553;;;;;;11835176;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA BHE ES/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703255;-23,6164722;-46,5686388;SP;SCN;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;800;444,4;3;1630554;;;;;;11835177;FECHAMENTO NFV FASE 2/ESTACAO ENTREGA HUB_SAO CAETANO DO SUL / HE_SANTO ANDRE/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703256;-27,4898888;-48,6780555;SC;BGC;TERCEIROS ETH;26;BRFIBRA;127;FNS PO;NAO;;800;444,4;3;1630555;;;;;;11835178;FECHAMENTO NFV FASE 2/BGC GV_BGC GV5_BGC BGC GV/ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703257;-29,4106944;-51,9618333;RS;AOI;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;11048,84306;338,9420512;3;1630556;;;;;;11835179;FECHAMENTO NFV FASE 2/AOIC01 AOI C01/ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703258;-19,8356944;-44,0811666;MG;RNS;TERCEIROS ETH;26;VTAL - MG;452;BHE ES;NAO;;10404,47867;1462,02386;3;1630557;;110855;;;;11835181;FECHAMENTO NFV FASE 2/NUVEM RNSVP_NUVEMGPON SITE MGRBN02/ESTACAO ENTREGA BHE ES/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703259;-27,4092196;-51,2156836;SC;CNV;TERCEIROS ETH;26;VTAL - SC;465;FNS PO;NAO;;22248,94848;421,7619082;3;1630558;;;;;;11835182;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703260;-23,5332633;-46,7283035;SP;SPO;TERCEIROS ETH;26;BRFIBRA;127;SPO IG;NAO;;800;444,4;3;1630559;;;;;;11835183;FECHAMENTO NFV FASE 2/SPOLP_GRADE_HEITOR 1 SPO LP/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703261;-29,3936666;-51,9255833;RS;AOI;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;338,9420512;3;1630560;;;;;;11835184;FECHAMENTO NFV FASE 2/AOIC01 AOI C01/ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703262;-29,4622222;-51,9911388;RS;LJO;TERCEIROS ETH;26;UNIFIQUE - RS;1439;CTA MR;NAO;;690;525;3;1630561;;;;;;11835185;FECHAMENTO NFV FASE 2/NELLJOSSB LJO SSB/ESTACAO ENTREGA CTA MR/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703263;-21,7474722;-52,4751944;MS;BTG;TERCEIROS ETH;26;VTAL - MS;453;CPE CM;NAO;;10506,53229;1721,242625;3;1630562;;111312;;;;11835186;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA CPE CM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703264;-22,9788611;-47,0455555;SP;CAS;TERCEIROS ETH;26;UPIX - SP;471;SPO IG;NAO;;990;1782;3;1630563;;110856;;;;11835187;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703265;-17,5799465;-52,5391143;GO;MNI;TERCEIROS ETH;26;VTAL - GO;450;GNA RD;NAO;;9913,716982;599,8179325;3;1630564;;;;;;11835188;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA GNA RD/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703266;-27,173495;-51,500202;SC;HVD;TERCEIROS ETH;26;VTAL - SC;465;FNS PO;NAO;;10404,47867;467,2176949;3;1630565;;;;;;11835189;FECHAMENTO NFV FASE 2/JCA MP_JCA MP_HVD JCA MP/ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703267;-18,8988333;-48,3853888;MG;ULA;TERCEIROS ETH;26;IG NETWORKS;146;BHE ES;NAO;;2970;1760;3;1630566;;;;;;11835190;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA BHE ES/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703268;-22,6150277;-43,2940833;RJ;DQX;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;9913,716982;421,2824965;3;1630567;;;;;;11835191;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA RJO AM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703269;-23,66184;-46,84758;SP;EMB;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;1485;1408;3;1630568;;;;;;11835192;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703270;-27,3605635;-51,301437;SC;CNV;TERCEIROS ETH;26;VTAL - SC;465;FNS PO;NAO;;33081,1738;634,367131;3;1630569;;;;;;11835193;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703271;-10,1881666;-48,8763888;TO;PIT;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;10506,53229;362,5354238;3;1630570;;;;;;11835194;FECHAMENTO NFV FASE 2/PIT AA_PIT AA_PIT PIT AA/ESTACAO ENTREGA PMJ SO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703272;-22,7028888;-43,6904166;RJ;SERP;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;20836,41459;1121,654676;3;1630571;;111313;;;;11835195;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA RJO AM/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703273;-15,6368888;-56,2070833;MT;VAZ;TERCEIROS ETH;26;VTAL - MT;456;CBA MC;NAO;;9913,716982;386,8667713;3;1630572;;;;;;11835196;FECHAMENTO NFV FASE 2/NUVEM MTVAZ54 - NUVEM DIRETO CLARO SITE MTVAZ54/ESTACAO ENTREGA CBA MC/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703274;-27,3784664;-51,5857561;SC;CNZ;TERCEIROS ETH;26;VTAL - SC;465;FNS PO;NAO;;10404,47867;634,367131;3;1630573;;;;;;11835197;FECHAMENTO NFV FASE 2//ESTACAO ENTREGA FNS PO/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703275;-32,1323277;-52,1525777;RS;RGR;TERCEIROS ETH;26;VTAL - RS;464;PAE BV;NAO;;10404,47867;359,93828;3;1630574;;;;;;11835198;FECHAMENTO NFV FASE 2/NUVEM NVOE_RSRGR11 SITE RSRGR11/ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703276;-22,3352222;-49,0307222;SP;BRU;TERCEIROS ETH;26;IG NETWORKS;146;SPO IG;NAO;;1485;1408;3;1630575;;;;;;11835199;FECHAMENTO NFV FASE 2/BRU AL_BRU DOB BRU AL/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703277;-29,4622222;-51,9909722;RS;LJO;TERCEIROS ETH;26;UNIFIQUE - RS;1439;PAE BV;NAO;;690;825;3;1630576;;111314;;;;11835200;FECHAMENTO NFV FASE 2/LJO SSB _ANELLJOSSB LJO SSB/ESTACAO ENTREGA PAE BV/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
8703278;-22,9552222;-47,0965833;SP;CAS;TERCEIROS ETH;26;UPIX - SP;471;SPO IG;NAO;;990;639;3;1630577;;;;;;11835201;FECHAMENTO NFV FASE 2/CAS BC_ANEL CAS DI CAS BC/ESTACAO ENTREGA SPO IG/PRECO PADRAO;FORA DE REDE;1;1;TERCEIROS ETH
